"seed","sample_size","p","q","rank","sigma","cov_scale","lambda_factor","lambda","lipschitz","iter","converged","hit_maxit","final_objective","final_rel_objective_change","final_step_frob","final_rel_step_frob","final_truth_frob","final_rank_truncated_truth_frob","rank_1e8","rank_1e4","minimax_rate_standard","ratio_standard","rank_truncated_ratio_standard","minimax_rate_covscale_adjusted","ratio_covscale_adjusted","rank_truncated_ratio_covscale_adjusted","scaledgd_reference_frob","ratio_to_scaledgd_reference","rank_truncated_ratio_to_scaledgd_reference","seed_best_full_frob","seed_best_rank_frob","full_within_5pct_seed_best","full_within_10pct_seed_best","rank_within_5pct_seed_best","rank_within_10pct_seed_best"
20260503,500,30,25,2,0.5,0.2,0.2,0.033166247903554,5.51665168971191,226,TRUE,FALSE,0.272494044455605,7.51233180316677e-09,0.000629108442120315,0.000205932627987868,6.32339662430671,6.32185318165997,3,3,0.234520787991171,26.9630538020568,26.956472540498,1.17260393995586,5.39261076041136,5.3912945080996,3.91088544508124,1.61687083733422,1.61647618434107,4.33034811453102,3.99696137720345,FALSE,FALSE,FALSE,FALSE
20260504,500,30,25,2,0.5,0.2,0.015,0.00248746859276655,6.2723230225306,480,TRUE,FALSE,0.0745876776369159,3.62700289324475e-09,0.00464643489692581,0.000584232688155649,6.01800939750894,4.5899112375207,15,15,0.234520787991171,25.660878291674,19.5714472769616,1.17260393995586,5.13217565833481,3.91428945539232,3.91088544508124,1.53878437044937,1.17362456711522,4.93358622662753,4.35109081491409,FALSE,FALSE,FALSE,TRUE
20260504,500,30,25,2,0.5,0.2,0.02,0.0033166247903554,6.2723230225306,681,TRUE,FALSE,0.0895415134494484,9.496041463344e-09,0.00203912937177626,0.000290375557921815,5.51939065873081,4.35868146473674,14,14,0.234520787991171,23.5347608457575,18.5854802129559,1.17260393995586,4.70695216915149,3.71709604259118,3.91088544508124,1.41128926843731,1.11449990697598,4.93358622662753,4.35109081491409,FALSE,FALSE,TRUE,TRUE
20260504,500,30,25,2,0.5,0.2,0.025,0.00414578098794425,6.2723230225306,816,TRUE,FALSE,0.102289853658617,9.88368887087608e-09,0.00130044218970459,0.000200028611347332,5.20720138141197,4.35109081491409,13,13,0.234520787991171,22.2035812944991,18.55311357336,1.17260393995586,4.44071625889982,3.710622714672,3.91088544508124,1.33146354055477,1.11255900384055,4.93358622662753,4.35109081491409,FALSE,TRUE,TRUE,TRUE
20260504,500,30,25,2,0.5,0.2,0.03,0.0049749371855331,6.2723230225306,322,TRUE,FALSE,0.113454082253159,8.36712076990554e-09,0.00439753701492554,0.000715597264164039,4.99253880208633,4.37064733410253,12,12,0.234520787991171,21.2882569807597,18.636502851368,1.17260393995586,4.25765139615195,3.7273005702736,3.91088544508124,1.27657505498288,1.11755953874833,4.93358622662753,4.35109081491409,TRUE,TRUE,TRUE,TRUE
20260504,500,30,25,2,0.5,0.2,0.035,0.00580409338312195,6.2723230225306,297,TRUE,FALSE,0.123257586160124,1.87252438149807e-09,0.00418503362311195,0.00072025310638943,4.9362086617311,4.46901132060876,12,12,0.234520787991171,21.0480644552368,19.0559282991024,1.17260393995586,4.20961289104736,3.81118565982048,3.91088544508124,1.26217163121958,1.14271087286115,4.93358622662753,4.35109081491409,TRUE,TRUE,TRUE,TRUE
20260504,500,30,25,2,0.5,0.2,0.04,0.0066332495807108,6.2723230225306,275,TRUE,FALSE,0.132016318960069,4.6272820736867e-09,0.00400518927966702,0.000720745850145766,4.93358622662753,4.56527520644738,11,11,0.234520787991171,21.0368823543833,19.4663988875018,1.17260393995586,4.20737647087665,3.89327977750035,3.91088544508124,1.26150108355451,1.16732521843338,4.93358622662753,4.35109081491409,TRUE,TRUE,TRUE,TRUE
20260504,500,30,25,2,0.5,0.2,0.045,0.00746240577829965,6.2723230225306,222,TRUE,FALSE,0.139926810285028,9.50426761825517e-09,0.00639347293529306,0.00119867823741992,4.98610047937803,4.68215941265448,10,10,0.234520787991171,21.260803880489,19.964794817382,1.17260393995586,4.25216077609779,3.9929589634764,3.91088544508124,1.27492879793989,1.19721210922792,4.93358622662753,4.35109081491409,TRUE,TRUE,FALSE,TRUE
20260504,500,30,25,2,0.5,0.2,0.05,0.0082915619758885,6.2723230225306,209,TRUE,FALSE,0.147186982936536,7.16825676064919e-09,0.00615057792282493,0.00119657186955751,5.02297333453332,4.77018141433772,9,9,0.234520787991171,21.4180302631527,20.3401218936604,1.17260393995586,4.28360605263053,4.06802437873208,3.91088544508124,1.28435706058605,1.21971903327857,4.93358622662753,4.35109081491409,TRUE,TRUE,FALSE,TRUE
20260504,500,30,25,2,0.5,0.2,0.06,0.0099498743710662,6.2723230225306,184,TRUE,FALSE,0.160249704585162,4.73029595770539e-09,0.00580818828726775,0.00120794904487128,5.14025913986032,4.95498995568177,8,8,0.234520787991171,21.9181386174339,21.1281481617242,1.17260393995586,4.38362772348678,4.22562963234483,3.91088544508124,1.31434663889869,1.26697394369189,4.93358622662753,4.35109081491409,TRUE,TRUE,FALSE,FALSE
